trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.995}",30,0,-129.04086903958287,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.99}",20,7,-56.959320593168684,"{0: 8, 1: 0, 2: 3, 3: 2, 4: 0}",1
3,False,"{'a': 0.1, 'e': 0.985}",20,0,-59.30784616002871,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.98}",25,0,-104.44203982561268,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.975}",25,0,-112.3101471484256,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.97}",20,0,-117.29217344209135,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.965}",20,0,-152.7245330349592,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.96}",25,5,-71.7305062260796,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",1
9,False,"{'a': 0.1, 'e': 0.955}",30,0,-136.2038054247297,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.1, 'e': 0.95}",20,0,-73.73535233439645,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.945}",20,6,-34.12752301920546,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
12,False,"{'a': 0.1, 'e': 0.94}",20,0,-161.20619364285102,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 3}",0
13,False,"{'a': 0.1, 'e': 0.9349999999999999}",20,14,4.884729308476168,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.1, 'e': 0.9299999999999999}",30,19,-45.536145239369105,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.1, 'e': 0.9249999999999999}",20,0,-32.30731760446047,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.9199999999999999}",20,9,-14.094056520429682,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.9149999999999999}",20,0,-142.47232973960703,"{0: 7, 1: 2, 2: 8, 3: 3, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.9099999999999999}",35,0,-257.88335865817146,"{0: 16, 1: 6, 2: 8, 3: 2, 4: 3}",0
19,False,"{'a': 0.1, 'e': 0.9049999999999999}",25,1,-95.55237114258546,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 1}",1
20,False,"{'a': 0.1, 'e': 0.8999999999999999}",20,0,-65.35191275383774,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
21,False,"{'a': 0.1, 'e': 0.8949999999999999}",25,0,-37.53640539086552,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.1, 'e': 0.8899999999999999}",30,0,-145.23726604554636,"{0: 18, 1: 1, 2: 8, 3: 2, 4: 1}",0
23,False,"{'a': 0.1, 'e': 0.8849999999999999}",25,0,-92.32880783609284,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
24,False,"{'a': 0.1, 'e': 0.8799999999999999}",20,0,-114.07690564998036,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.1, 'e': 0.8749999999999999}",20,0,-133.6026582120992,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
26,False,"{'a': 0.1, 'e': 0.8699999999999999}",25,0,-59.76345908199909,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.1, 'e': 0.8649999999999999}",25,0,-129.42438152418794,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
28,False,"{'a': 0.1, 'e': 0.8599999999999999}",20,13,9.080974938898322,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.1, 'e': 0.8549999999999999}",20,0,-77.35375967644472,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.1, 'e': 0.8499999999999999}",20,0,-20.470705011332253,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
31,False,"{'a': 0.1, 'e': 0.8449999999999999}",20,0,-95.09906640939758,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
32,False,"{'a': 0.1, 'e': 0.8399999999999999}",30,7,-159.41864354004153,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 2}",1
33,False,"{'a': 0.1, 'e': 0.8349999999999999}",20,0,-6.485492278169537,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
34,False,"{'a': 0.1, 'e': 0.8299999999999998}",20,0,-108.3757621684379,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
35,False,"{'a': 0.1, 'e': 0.8249999999999998}",30,15,3.066805781680936,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.1, 'e': 0.8199999999999998}",20,0,-123.45706960756164,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",1
37,False,"{'a': 0.1, 'e': 0.8149999999999998}",25,0,-142.76086581154095,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
38,False,"{'a': 0.1, 'e': 0.8099999999999998}",20,0,-175.55964478888566,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
39,False,"{'a': 0.1, 'e': 0.8049999999999998}",25,0,-102.24036353316949,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
40,False,"{'a': 0.1, 'e': 0.7999999999999998}",25,0,-156.04975797206185,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
41,False,"{'a': 0.1, 'e': 0.7949999999999998}",25,0,-156.39698001216433,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
42,False,"{'a': 0.1, 'e': 0.7899999999999998}",25,0,-143.37749590629525,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
